#Digilent WaveForms Logger,,,,
#Device Name: Discovery2,,,,
#Serial Number: SN:210321B27883,,,,
#Date Time: 2023-11-08 12:42:10.124,,,,
,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),
12.9,-0.057241348,0.05743153,0.004669977,
13,-0.057498978,0.057688744,0.004675323,
13.1,-0.057487738,0.057669539,0.004575555,
13.2,-0.057246294,0.057425449,0.00453256,
13.3,-0.05719189,0.057364751,0.004449985,
13.4,-0.057335767,0.05750153,0.004362997,
13.5,-0.057240898,0.057405566,0.004344952,
13.6,-0.056871313,0.057045512,0.004454681,
13.7,-0.056865468,0.057048428,0.004565271,
13.8,-0.057221565,0.057411756,0.004669295,
13.9,-0.056731482,0.056922644,0.004661147,
14,-0.056986415,0.057173453,0.004620847,
14.1,-0.057014741,0.057206676,0.004682212,
14.2,-0.057173905,0.057365968,0.004690298,
14.3,-0.057149176,0.057343078,0.004711717,
14.4,-0.057044865,0.057236604,0.004681048,
14.5,-0.056872212,0.057064332,0.004678615,
14.6,-0.056911329,0.057103207,0.004677275,
14.7,-0.056746769,0.056928685,0.004547452,
14.8,-0.057257084,0.057428209,0.004430064,
14.9,-0.057235952,0.057406716,0.004424565,
15,-0.05698057,0.057158054,0.00450087,
15.1,-0.057541242,0.057722934,0.004576308,
15.2,-0.057380729,0.057567029,0.004627614,
15.3,-0.057507521,0.057700303,0.004712751,
15.4,-0.057254387,0.057449856,0.004735104,
15.5,-0.057240449,0.057433364,0.004703436,
15.6,-0.057324977,0.057518932,0.004719593,
15.7,-0.057305193,0.057505697,0.00479792,
15.8,-0.057346109,0.057542369,0.004748476,
15.9,-0.057400512,0.057593507,0.004710969,
16,-0.057476947,0.057675377,0.004780129,
16.1,-0.05776695,0.057962462,0.004756724,
16.2,-0.05786047,0.058050728,0.004696054,
16.3,-0.057963433,0.058144531,0.004585511,
16.4,-0.057213472,0.057391691,0.004519381,
16.5,-0.057092525,0.057266332,0.004458303,
16.6,-0.0570035,0.057191392,0.004632093,
16.7,-0.056385277,0.056580715,0.004698704,
16.8,-0.057079486,0.057276867,0.004750983,
16.9,-0.057986363,0.058189571,0.004858787,
17,-0.057865866,0.058062347,0.004772601,
17.1,-0.057319581,0.057511061,0.00468911,
17.2,-0.056622225,0.056811792,0.004637166,
17.3,-0.056615481,0.056804739,0.004633109,
17.4,-0.057976022,0.058162286,0.004651059,
17.5,-0.061733022,0.061918361,0.004787221,
17.6,-0.068717372,0.068940179,0.005538153,
17.7,-0.077049224,0.077186704,0.004604814,
17.8,-0.08274767,0.082889719,0.004850635,
17.9,-0.089285101,0.089396832,0.004468137,
18,-0.094035305,0.094125162,0.004111883,
18.1,-0.092060137,0.092160062,0.004290475,
18.2,-0.090315623,0.090414063,0.004217937,
18.3,-0.088522101,0.088623917,0.004246904,
18.4,-0.087011838,0.087120897,0.004357849,
18.5,-0.081770652,0.081923596,0.005003592,
18.6,-0.075221531,0.07533096,0.004058903,
18.7,-0.081281469,0.081433403,0.004972115,
18.8,-0.085850027,0.085957351,0.004294057,
18.9,-0.086527151,0.086631381,0.004248333,
19,-0.086237148,0.086343162,0.004277383,
19.1,-0.086252884,0.086356335,0.004225696,
19.2,-0.086467801,0.086564146,0.004082975,
19.3,-0.08665709,0.08674794,0.003969112,
19.4,-0.086682718,0.086779589,0.004099201,
19.5,-0.086373831,0.086473075,0.004141734,
19.6,-0.086521755,0.08662757,0.00428039,
19.7,-0.086299644,0.086407759,0.004321128,
19.8,-0.086831092,0.0869372,0.004293988,
19.9,-0.086720486,0.086825996,0.004279121,
20,-0.086408452,0.086515887,0.004310249,
20.1,-0.085883749,0.085992671,0.004326796,
20.2,-0.085978168,0.08608358,0.004258804,
20.3,-0.086312234,0.086418232,0.004278912,
20.4,-0.086601787,0.086706751,0.004265108,
20.5,-0.086506019,0.086611341,0.004270027,
20.6,-0.087165157,0.087264327,0.004159115,
20.7,-0.086571213,0.086668347,0.004102119,
20.8,-0.086546934,0.086642479,0.004067851,
20.9,-0.086421491,0.086522293,0.004175309,
21,-0.086091921,0.086195058,0.004215348,
21.1,-0.085771794,0.085879403,0.00429781,
21.2,-0.086108108,0.086215346,0.004298793,
21.3,-0.08610496,0.086212592,0.004306597,
21.4,-0.085792926,0.085898476,0.004256992,
21.5,-0.086441274,0.086545959,0.004255493,
21.6,-0.087121544,0.087222264,0.004190443,
21.7,-0.087104459,0.087203742,0.004160024,
21.8,-0.08711525,0.087216933,0.004210313,
21.9,-0.086805463,0.086905113,0.004160556,
22,-0.086422839,0.086517845,0.004053429,
22.1,-0.086556376,0.086650967,0.004047705,
22.2,-0.086686765,0.086781626,0.004056538,
22.3,-0.086278962,0.086382284,0.004223706,
22.4,-0.086309086,0.086416442,0.004306173,
22.5,-0.08678658,0.086892684,0.004292798,
22.6,-0.086860317,0.086966087,0.004287857,
22.7,-0.087090521,0.087198005,0.004328196,
22.8,-0.08655098,0.086661433,0.00437399,
22.9,-0.085881501,0.085994327,0.00440366,
23,-0.086247039,0.08635502,0.004317146,
23.1,-0.087280259,0.087388069,0.004339472,
23.2,-0.085769546,0.085869915,0.004150581,
23.3,-0.085396813,0.085504811,0.004296152,
23.4,-0.074317801,0.07448124,0.004931487,
23.5,-0.069836019,0.070067869,0.005695324,
23.6,-0.056271524,0.056534027,0.005441668,
23.7,-0.051985775,0.052587422,0.00793197,
23.8,-0.066901819,0.067063903,0.004659796,
23.9,-0.078688078,0.078886507,0.005591713,
24,-0.087212816,0.087370494,0.005246696,
24.1,-0.099752634,0.099853136,0.004478922,
24.2,-0.10059117,0.100692599,0.004518418,
24.3,-0.103095087,0.103194425,0.004526858,
24.4,-0.104098183,0.104201278,0.004634076,
24.5,-0.106039629,0.106135489,0.004509886,
24.6,-0.106724845,0.10681716,0.00443994,
24.7,-0.107134896,0.107221743,0.004314655,
24.8,-0.107297657,0.107381509,0.004242793,
24.9,-0.106988321,0.107071731,0.004225492,
25,-0.106376841,0.106461979,0.004256821,
25.1,-0.106281972,0.106374704,0.004440727,
25.2,-0.10576851,0.105863097,0.00447412,
25.3,-0.105130054,0.105225072,0.004470742,
25.4,-0.104755073,0.104850052,0.004461837,
25.5,-0.103944414,0.10404086,0.004478786,
25.6,-0.103563588,0.103665941,0.004605488,
25.7,-0.102476864,0.102573073,0.004441592,
25.8,-0.101076756,0.101180905,0.00458965,
25.9,-0.099406879,0.09950159,0.00434037,
26,-0.098046787,0.098138102,0.004232564,
26.1,-0.097247818,0.09733906,0.004213595,
26.2,-0.09441703,0.094508359,0.004153847,
26.3,-0.092023269,0.092113257,0.004070651,
26.4,-0.091409991,0.091500294,0.00406416,
26.5,-0.090597533,0.09069328,0.004166289,
26.6,-0.09013128,0.090226892,0.004152637,
26.7,-0.089785075,0.089886647,0.004271952,
26.8,-0.089057145,0.089161978,0.004322402,
26.9,-0.088880446,0.088984463,0.004301278,
27,-0.087419191,0.08752451,0.004292433,
27.1,-0.086541089,0.08665019,0.004346886,
27.2,-0.08631673,0.086426164,0.004347871,
27.3,-0.086275815,0.086379401,0.004229035,
27.4,-0.086010541,0.086113049,0.004200494,
27.5,-0.086400359,0.086495891,0.00406414,
27.6,-0.086424188,0.086520938,0.004090518,
27.7,-0.086681819,0.086779372,0.004113589,
27.8,-0.086990256,0.087092752,0.004224083,
27.9,-0.087403454,0.087506158,0.004238378,
28,-0.087130537,0.087237526,0.004319205,
28.1,-0.087035218,0.08714196,0.004311845,
28.2,-0.087304988,0.087415217,0.004388527,
28.3,-0.087701101,0.087807125,0.004313723,
28.4,-0.086827944,0.086937098,0.004355125,
28.5,-0.08702038,0.087130738,0.004383934,
28.6,-0.086509166,0.08662043,0.004388972,
28.7,-0.086517259,0.08662585,0.004336105,
28.8,-0.086711943,0.086813641,0.004200851,
28.9,-0.086834239,0.086932007,0.004121744,
29,-0.087008241,0.08710488,0.004101965,
29.1,-0.087084676,0.087186048,0.00420312,
29.2,-0.086773541,0.086878014,0.004259331,
29.3,-0.087001496,0.087108113,0.004308476,
29.4,-0.086662485,0.086772741,0.004372906,
29.5,-0.086752858,0.086858607,0.004284754,
29.6,-0.086585601,0.086691565,0.004284988,
29.7,-0.086980364,0.087087327,0.004314947,
29.8,-0.087156614,0.087266344,0.004374865,
29.9,-0.087189886,0.087299348,0.004370353,
30,-0.087360291,0.087469553,0.004370621,
30.1,-0.086822549,0.086928043,0.004281311,
30.2,-0.086662036,0.08676539,0.004233725,
30.3,-0.086663834,0.086759449,0.00407209,
30.4,-0.086307737,0.086404587,0.004089882,
30.5,-0.086002448,0.086101384,0.004126428,
30.6,-0.086167457,0.086272103,0.004247961,
30.7,-0.08669261,0.086798543,0.004287007,
30.8,-0.086481739,0.086589702,0.004322649,
30.9,-0.085970075,0.086078222,0.004313527,
31,-0.086835588,0.086940685,0.004273578,
31.1,-0.086753758,0.086858328,0.004260834,
31.2,-0.086317629,0.086426229,0.004331279,
31.3,-0.086448018,0.086554128,0.004284538,
31.4,-0.086553228,0.086660821,0.00431701,
31.5,-0.086520406,0.086626928,0.004294637,
31.6,-0.086979016,0.087081098,0.004215259,
31.7,-0.087018582,0.087116923,0.004138199,
31.8,-0.086783432,0.086879792,0.004090743,
31.9,-0.086517259,0.086614398,0.004100957,
32,-0.08719708,0.087296562,0.004166415,
32.1,-0.087365237,0.087468496,0.004248905,
32.2,-0.086731277,0.086838196,0.004307892,
32.3,-0.087479439,0.08758731,0.004345628,
32.4,-0.087977615,0.088083807,0.004323931,
32.5,-0.08761927,0.087727299,0.004352297,
32.6,-0.087648945,0.087758232,0.004378323,
32.7,-0.08812464,0.088230632,0.004323464,
32.8,-0.088812104,0.088917891,0.00433608,
32.9,-0.088822445,0.088928442,0.004340616,
33,-0.090227948,0.090327438,0.004238321,
33.1,-0.089883092,0.089978344,0.004139115,
33.2,-0.090719829,0.090812078,0.004092206,
33.3,-0.091498116,0.091586447,0.004021448,
33.4,-0.094488519,0.094584765,0.004265857,
33.5,-0.097530627,0.097624719,0.004285159,
33.6,-0.100936476,0.101039491,0.004561416,
33.7,-0.105711408,0.10581342,0.004645224,
33.8,-0.105429498,0.105525374,0.004497258,
33.9,-0.105351265,0.10555288,0.006520846,
34,-0.098554855,0.098625485,0.003731865,
34.1,-0.099749937,0.099815943,0.003629408,
34.2,-0.098930734,0.099000822,0.003724582,
34.3,-0.096171885,0.096239644,0.003610767,
34.4,-0.096968606,0.097037159,0.003646873,
